id,question,answer
0,Was Abraham Lincoln the sixteenth President of the United States?,yes
1,Did Lincoln sign the National Banking Act of 1863?,yes
2,Did his mother die of pneumonia?,no
3,How many long was Lincoln's formal education?,18 months
4,When did Lincoln begin his political career?,1832
5,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history"
6,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell
7,When did the Gettysburg address argue that America was born?,1776
8,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes
9,Was Abraham Lincoln the first President of the United States?,No
10,Did Lincoln start his political career in 1832?,Yes
11,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
12,Which county was Lincoln born in?,Hardin County
13,When did Lincoln first serve as President?,"March 4, 1861"
14,Who assassinated Lincoln?,John Wilkes Booth
15,Did Lincoln win the election of 1860?,Yes
16,Who was the general in charge at the Battle of Antietam?,General McClellan
17,Why did Lincoln issue the Emancipation Proclamation?,To free slaves 
18,Do scholars rank lincoln among the top three presidents?,Yes
19,Did lincoln have 18 months of schooling?,Yes
20,Was Lincoln chosen as a presidential candidate in 1860?,Yes
21,How old was Lincoln in 1816?,seven
22,When was the first photgraph of lincoln taken?,1846
23,How long was Lincoln's legal Career?,23 years
24,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong"
25,Did Abraham Lincoln live in the Frontier?,Yes
26,Did Lincoln's Wife's Family support slavery?,Yes
27,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro
28,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro
29,When did he publish another memoria?,1821
30,When did he become a professor?,1820
31,Is it true that he became a professor in 1820?,yes
32,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes
33,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes
34,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes
35,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
36,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes
37,Did the scientific community not reserve great attention to his theory ?,yes
38,Can the title of this famous 1811 paper be roughly translated into english?,yes
39,What happened in 1833?,Avogadro had been recalled to Turin university
40,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
41,What is named after him?,The Celsius crater on the Moon
42,When did he publish a collection?,1733
43,Is it true that he published a collection in 1738?,No
44,Is it true that thermometer had 100 for the freezing point?,Yes
45,Was Celsius born in Uppsala in Sweden?,Yes
46,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes
47,Is The Celsius crater on the Moon named after him?,Yes
48,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius
49,The Celsius crater on the Moon is what?,named after him
50,Is the Celsius crater on the Moon named after him ?,Yes
51,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had
52,Was Celsius born in Uppsala in Sweden ?,Yes
53,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did
54,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University
55,What happened in 1745?,The scale was reversed
56,Are beetles insects?,Yes
57,Can beetles be found in polar regions?,No
58,Do beetles antennae function primarily as organs of smell?,Yes
59,What are the three sections of a beetle?,"the head, the thorax, and the abdomen"
60,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry
61,Which type of beetle is a pest of potato plants?,Colorado potato beetle
62,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
63,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet."
64,What are the similarities between beetles and grasshoppers?,mouthparts
65,Are certain species of beetles considered pests?,Yes
66,Is a beetle's general anatomy uniform?,Yes
67,Are beetles endopterygotes?,yes
68,How many species of beetles are there?,"350,000"
69,When are sperm cells transferred to the female?,during pairing
70,What is the study of beetles called?,coleopterology
71,"Is it possible that there are more than 350,000 species of beetles?",yes
72,Is the Adephaga suborder larger than the Polyphaga suborder?,no
73,Do carrion beetles eat dung?,no
74,What are prey of various animals including birds and mammals?,Beetles.
75,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera""."
76,Who or what vary greatly in form within the coleoptera?,Antennae.
77,Are many beetles territorial?,Yes.
78,Are beetles endopterygotes with complete metamorphosis?,Yes.
79,Oxygen is what?,One kind of gas obtained via a tracheal system.
80,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.
81,Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.
82,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.
83,May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.
84,Can beetles be found in almost all habitats?,Yes.
85,What happened on plants and fungi?,They are food to beetles.
86,Was Calvin Coolidge the twenty-ninth vice president?,no
87,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes
88,Did Coolidge graduate from Black River Academy?,yes
89,When did he drop John from his name?,upon graduating from college
90,When did Coolidge meet and marry Grace Anna Goodhue?,1905
91,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties
92,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts"
93,Of what state was Coolidge governor?,MassachuS08_setts
94,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge
95,Was Coolidge the thirteenth President of the United States?,No
96,Was Calvin Coolidge Republican?,Yes
97,Was Calvin Coolidge a governor of MassachuS08_setts?,Yes
98,When was Coolidge born?,July 4 1872
99,Where did Coolidge's grandfather had government offices?,Plymouth
100,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont"
101,Is Calvin Jr. older than John Coolidge?,No
102,Did Coolidge get in Amherst College?,Yes
103,What caused Calvin Jr.'s death?,heart attack
104,Was John Calvin Coolidge Jr. was born in Las Vegas?,No
105,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes
106,Did Coolidge meet and marry Grace Anna Goodhue?,Yes
107,What year did Coolidge open his own law office?,1898
108,What fraternity was Coolidge a member of?,Phi Gamma Delta
109,In 1905 Coolidge met and married whom?,Grace Anna Goodhue
110,Why did Coolidge not attend law school?,It was too expensive
111,Have there been other US presidents that have visited Cuba?,No
112,What years were Coolidge's two sons born in?,1906 and 1908
113,Did France cede nearly all of its colonies in Europe in 1763?,Yes.
114,Is Canada a member of the OECD?,Yes.
115,Is Canada's official language Zulu?,No.
116,What is one significant non-official language?,Chinese.
117,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City
118,What was the Consitution Act formerly called?,The British North America Act.
119,Which countries established colonies in Canada?,France and Britain.
120,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
